Date,Close,High,Low,Open,Volume
2023-12-22,3626.119140625,3646.933245771475,3567.3274599977117,3603.361070704759,2413058
2023-12-26,3599.141357421875,3635.6016352928714,3594.0206528341296,3622.183949299086,1285231
2023-12-27,3613.981201171875,3620.618971095341,3573.016724517037,3602.4125627495287,1293976
2023-12-28,3603.26611328125,3639.3946414861102,3595.8699258439583,3626.119100844942,1682889
2023-12-29,3597.1025390625,3624.791709570154,3570.5514572660563,3595.775077575502,1574996
2024-01-01,3613.886474609375,3633.7048662719776,3577.757948967686,3593.8782471740074,825907
2024-01-02,3587.43017578125,3613.8865694951905,3572.3055889566763,3613.8865694951905,1344068
2024-01-03,3500.712646484375,3576.667796440322,3496.255904152082,3572.0686772686777,1803075
2024-01-04,3477.053955078125,3526.552712648792,3462.0715122024035,3510.1953493002593,3598144
2024-01-05,3544.474853515625,3553.8152383197657,3484.6876861027713,3484.8298314522417,1963127
2024-01-08,3487.958740234375,3546.2288355043906,3482.3639091369514,3544.4744750104824,1067805
2024-01-09,3498.95849609375,3558.177078509114,3492.178580048869,3517.97101419748,1370944
2024-01-10,3520.91015625,3536.271805530707,3497.1563769651393,3499.0528825925608,1292227
2024-01-11,3542.24609375,3577.7581178202754,3515.173427712632,3531.2937266797526,1777909
2024-01-12,3681.876220703125,3703.16445093291,3623.843192451792,3648.8769751462355,6813450
2024-01-15,3701.78955078125,3759.8225793489855,3683.9623507618685,3755.0813150622907,2801505
2024-01-16,3661.48876953125,3697.237855611621,3656.0363156533926,3697.237855611621,1432672
2024-01-17,3683.583251953125,3707.621323698518,3615.261585245189,3621.377770055813,3458696
2024-01-18,3700.65185546875,3706.5309771399134,3662.1526951745536,3696.2897995314374,2239110
2024-01-19,3765.05712890625,3784.6317399780814,3738.3210747593575,3766.919057481787,2941975
2024-01-23,3684.084716796875,3756.319706507699,3669.284402377034,3723.950079830963,2618854
2024-01-24,3668.3779296875,3708.3386452495192,3633.8120750758894,3704.8535025994192,2657709
2024-01-25,3638.2998046875,3686.711116154436,3608.1261628069346,3666.5634951802735,2205154
2024-01-29,3629.4189453125,3647.561265744212,3610.1786303131307,3629.228020142455,1646747
2024-01-30,3628.9892578125,3674.106343557631,3616.0508723134685,3635.5776913717805,1411621
2024-01-31,3643.69482421875,3660.9300789609506,3625.075070296022,3639.1592431350086,2459358
2024-02-01,3680.169921875,3728.6290187621194,3633.286482295551,3647.56157849842,2363107
2024-02-02,3787.257568359375,3804.540377619733,3697.2143116152224,3700.1266783968517,2826510
2024-02-05,3793.941650390625,3840.4432412225233,3783.247275258838,3803.2037368944084,1691523
2024-02-06,3949.296875,3962.569322023447,3809.8874591997096,3816.571472286025,4474396
2024-02-07,3899.0712890625,3967.439289195261,3890.047917808523,3965.529571125853,2124267
2024-02-08,3947.4833984375,3970.3044394131934,3901.602368573064,3905.374015680606,2345173
2024-02-09,3947.10107421875,3995.846442629643,3914.922137470945,3949.822049542002,2100596
2024-02-12,3934.68798828125,3971.831913158721,3920.221500261139,3943.567991208639,1013716
2024-02-13,3962.18798828125,3981.7626005862903,3897.2575669767252,3939.2238125363833,1257415
2024-02-14,3915.017333984375,3929.149060164491,3866.701377127916,3921.6057675921356,1391283
2024-02-15,3917.97802734375,3959.1320813699854,3898.689687117787,3941.658346417395,1091582
2024-02-16,3941.9443359375,3960.7076888158995,3915.0175911112856,3927.573894072427,1307556
2024-02-19,3918.55078125,3941.9448303532154,3871.9538413689106,3936.931819831098,772291
2024-02-20,3848.702392578125,3913.0122404364697,3828.9846471816118,3897.8300753576905,1193648
